put a device with my phone	116
go ahead and talk faster now	23
no, that is fake	76
how much do i make in a year	54
can you tell me the nutrional info of a big mac	77
was i spending too much money on doughnuts last week	115
which insurance do i have	57
could you inform me of when i last got my car checked	63
how do i do a 401k rollover when switching to a new job	106
do i already have cereal on my shopping list	111
where should i look for my w-2	139
what kinds of taxes am i facing	117
are there any active events for march 4th 2019	12
where exactly am i at the moment	31
do you work for a different employer	147
can you add laundry to my to do list	127
when did i get my check last	84
order all items on the list	80
does going to taiwan require me to get an international visa	61
appreciated	120
i want to call mark	65
which way do you have my name saved	137
set an alarm for four thirty tomorrow, please	2
what's the least i can pay towards this bill	71
what's the name i should use to talk to you	143
how do i set up direct deposit for my first national account	35
how do i ask about the weather in chinese	131
is france safe to travel to	132
what do you like to do in your free time	141
what place were you actually born at	145
whats the procedure to cancel it	15
what does indignation mean	34
how many vacation days have i saved up	88
how is doctor spelled	114
i'd like direct deposit to my chase bank account	35
can you place a stop on my account	45
please send me more checkbooks	81
please put a block on my regions account immediately	45
how do i report a stolen card	99
can i hear the song after this one	75
i need your accent to be changed	20
cash in my credit card points	93
you could tell me if you were real	5
look up uber to downtown	135
what kind of meal should i eat from thailand	67
looks like my card is being used by someone else, report it	98
i would like to know more about getting a new credit card	73
what plan am i paying for	57
is it safe to travel to mexico	132
do you work for another person	147
how's the traffic this morning	128
please order more checks i just used the last one	81
i hope i have enough money in my chase account to buy new clothes	6
tell me when to next change my tires	124
what weight oil do i need and how do i change the oil for my chevy truck	78
i need to know about how much time i'd have to wait to get a table at dibruno's	51
i need to know my credit's limit	28
what kind of electrical plug do they use in the uae	87
give me my credit limit	28
i need your volume increased	25
let's try whisper mode	146
i need to know the date it will be 4 days from now	33
given a choice would you take a dog or a cat	38
i need to obtain and uber	135
i need to know is traveling to france safe	132
do you have any of the beatles music	86
how bad is my current credit score	30
who were you created by	148
are you good	50
what plugs are in england	87
when's the next time i get paid	84
i need to know today's forecast	140
i need to order new checks because i am all out	81
please tell me all the purchases on my hy-vee card for this statement period	129
speed your speech up	23
play the song that goes like i like to move it, move it	86
find me someone who can deal with my car's illuminated check engine light	108
i need my pin number for my bank of america account and i can't remember it	85
do i need to get any shots before i go to brazil	138
i need to make a reservation to long horn's, can i	0
are there any travel alerts for mountain view	132
change your name to fred	21
text mom saying happy birthday	119
show me a hotel in boise that has positive reviews	10
is there a wait time at bjs right now	51
since i ran out , order more bread	80
are you one of my employees	147
what are some good vegan restaurants in broadripple	103
what is the schedule for my next oil change	79
what kind of questions can i ask the ai	142
remind me to get an oil change	95
pay my monthy mortgage payment	83
my vacation to spain is coming up and i need my bank to know	133
what do i do if my luggage is lost	64
my card was declined at mcdonald's and i want to know why	18
please tell me how to spell umbrella	114
please define institutional racism	34
i need to be out of whisper mode	146
i'd like to be out of whisper mode	146
can you suggest some of the most popular travel destination	134
i need to know what day i need to pay my water bill	8
tell me how to spell the word dessert	114
thanks, you've helped me	120
my bank needs to be aware of my trip to spain	133
i want your name to be gerry	21
what if any meetings do i have today	70
affirmitive	149
am i going to need a visa for traveling to canada	61
what is the time frame for receiving a new credit card if my original one gets lost	97
what time is in over there in pacific standard time	121
order more paper towels from amazon	80
can you get me simple instructions on how to do an oil change	78
can you help me switch to a new insurance plan	58
will a jump start work if my batter is dead	62
get me info on my mpg	72
please revert to the original settings	100
help me book a place to stay from may 2 to may 4 in tampa	10
pass me my gps coordinates	31
how much is usd vs cad	39
what kinds of subjects do you know about	142
can i find my w-2 online	139
tell me a funny joke about men	118
how long is it going to take me to get to bellevue	37
absolutely not	76
do you know what my name is	137
what are the possible reasons behind frozen bank account	1
i am in the mood to listen to mack the knife	86
tell me how to spell doctor	114
please talk faster	23
find the favorite destination for traveling this year	134
how many paypal transactions did i have last week	129
i ordered new sheets online when will they arrive	82
i need to know the name of my current location for the tow truck	31
engage whisper mode	146
please give me a list of the ingredients contained in chocolate cupcakes	56
when was the last time i took my car in	63
do you think arizona has plenty of bike routes	134
you can remove the brithday party from my calendar fpr january 15, 2019	13
i would like to know if you are a robot	5
what company is responsible for your design	148
add wash the dog to my list of things to do	127
put laundry on my list of things to do	127
when do i need to pay my dte energy bill	8
when will be the next holiday here	74
call me an uber please, and make it for four people to go downtown	135
i need you to schedule an uber pickup for me and three other people at 7pm to go to abe's pizza	135
how is sushi at jiro	102
list a few pizza places that have seating near my current location	103
send from my bbc money market to my t rowe price money market seven thousand dollars	130
how much pto have i used	91
please add this song to my morning job playlist	136
am i cleared to miss work for vacation	90
please change your response language to english	22
who is your designer	148
what shots are required to visit australia	138
is the apr on my card that ends 1234 what it should be based on my credit score	4
tell me the routing number for bluebird	107
howcan i locate my luggage	64
i want you to read my reminder list to me	94
please speak to me quicker from now on	23
how much is 1 dollar worth in country b's money	39
i need to know how long it will take me to get to the bank	37
can i have your name	143
i need to make a quick decision, so roll a dice!	105
is there a routing number for wells fargo	107
do i have anything scheduled on my calendar for next tuesday	12
what place were you born	145
has my credit card application been approved yet	3
how long can i keep pork in the freezer for before it gets freezer burnt	44
i call tails and you call heads on this coin flip i need you to do	43
i want to get new insurance	58
how far along is my credit card application	3
tell me how health chocolate is	77
what's the going rate between usd and cad	39
how should i spell malignant	114
hey ai cancel it now	15
tell me what time it is	121
can you teach me to change my oil	78
make sure i get a meeting room for 9am on friday	109
do i have enough fuel to get to buffalo	47
i want to start calling you adam	21
look up the exchange rate between dollars and euros	39
is my gas tank full or empty	47
order more bread please	80
what is the correct amount of ounces in a pound	69
do you know how the ratings are for yardhouse	102
please pair my phone	116
steve needs to know my location	110
how much money did i spent on grocery recently	115
switch language for me	22
increase the speaker volume please	25
how long do i need to cook chili for	27
are there any travel alerts for brazil	132
what steps do i need to take to jump start my car	62
spell: dessert	114
what are the top 10 ways to build my credit score	53
do i have plans on 12/03/2019	12
do i need to get any shots before volunteering in the congo	138
please assist me in linking my chase account to direct deposit for my paycheck	35
